name,purpose,location,notes
DORPER RAMS,Stud ram grazing and conditioning,Camp 1 — North Paddock,Rams separated outside breeding season
DORPER EWES,Main ewe mob — Dorper,Camp 2 — East Paddock,Mixed open and pregnant ewes
MEATMASTER RAMS,Meatmaster stud rams,Camp 3 — West Paddock,Managed separately from Dorper rams
MEATMASTER EWES,Meatmaster ewe mob,Camp 4 — South Paddock,Open and bred ewes
MERINO MOB,Merino grazing — wool and meat,Camp 5 — Far Paddock,Shearing due Q3 2026
PREGNANT EWES,All pregnant ewes across breeds,Lambing Camp — Near Homestead,Close monitoring — lambing imminent — check twice daily
WEANERS,Weaned lambs — post-weaning grow-out,Weaner Camp — Centre Paddock,Creep supplement provided — mixed breed weaners
LAMBING PEN,Active lambing — ewes and newborns,Lambing Shed — Handling Area,Overnight supervision during lambing season
QUARANTINE,New arrivals and sick animals,Isolation Paddock — 200m from main camps,14-day isolation protocol for all incoming animals
TREATMENT CAMP,Animals under veterinary treatment,Near Handling Facility,Daily inspection required — treatment records maintained
BREEDING GROUP A,Controlled mating — Dorper ewes with AV014,Camp 2 — East Paddock,Mating season April–June 2026 — target 100% conception
BREEDING GROUP B,Controlled mating — Meatmaster ewes with AV015,Camp 4 — South Paddock,Mating season May–July 2026
