tag_number,visual_id,eid,name,pedigree_id,registration_number,scrapie_tag,species,breed,sex,breeding_class,born_as,color_markings,color_type,breed_percentage,birth_date,acquisition_date,dam_sire,sire_sire,adopted_dam,breeder_name,source_country,import_batch,status,breeding_status,health_status,cull,weight_kg,body_condition_score,withdrawal_status,notes
D001,V001,7.1025E+14,KALAHARI KING,D250001,250001,AV2501,sheep,Dorper,male,Fullblood,twin,White with black head,Black Head,100,10/01/2025,10/01/2025,D210001,D210005,,GERT JOUBERT,South Africa,BATCH-2025-A,active,open,healthy,FALSE,92,3.5,FALSE,Twin born — strong ram lamb — top growth rate
D002,V002,7.1025E+14,DESERT STORM,D250002,250002,AV2502,sheep,Dorper,male,Fullblood,single,White with black head,Black Head,100,15/01/2025,15/01/2025,D210002,D210005,,GERT JOUBERT,South Africa,BATCH-2025-A,active,open,healthy,FALSE,95,4,FALSE,Single — excellent conformation — recommended stud ram
D003,V003,7.1025E+14,SANDVELD RAM,D250003,250003,AV2503,sheep,Dorper,male,Fullblood,twin,White with black head,Black Head,100,08/02/2025,08/02/2025,D210003,D210006,,FRANCOIS NEL,South Africa,BATCH-2025-A,active,open,healthy,FALSE,88,3.5,FALSE,Twin — good muscle score — second shearing
D004,V004,7.1025E+14,ACACIA EWE,D250004,250004,AV2504,sheep,Dorper,female,Fullblood,twin,White with black head,Black Head,100,20/01/2025,20/01/2025,D210001,D210005,,GERT JOUBERT,South Africa,BATCH-2025-A,active,open,healthy,FALSE,68,3,FALSE,Twin ewe — good dam temperament
D005,V005,7.1025E+14,SPRINGBOK EWE,D250005,250005,AV2505,sheep,Dorper,female,Fullblood,single,White with black head,Black Head,100,14/02/2025,14/02/2025,D210002,D210006,,GERT JOUBERT,South Africa,BATCH-2025-A,active,pregnant,healthy,FALSE,72,3.5,FALSE,Single — confirmed pregnant — scan date 2026-04-10
D006,V006,7.1025E+14,DUNE FLOWER,D250006,250006,AV2506,sheep,Dorper,female,Fullblood,twin,White with black head,Black Head,100,01/03/2025,01/03/2025,D210003,D210007,,FRANCOIS NEL,South Africa,BATCH-2025-A,active,open,healthy,FALSE,65,3,FALSE,Twin — well-grown — first mating season
MMO1,V007,7.1024E+14,RED SANDS RAM,MM240001,240001,AV2407,sheep,Meatmaster,male,Purebred,single,Brown and white patched,Multi-colour,100,12/07/2024,12/07/2024,MM210001,MM210003,,COLLEN STAFFORD,South Africa,BATCH-2024-B,active,open,healthy,FALSE,85,3.5,FALSE,Single — Meatmaster stud — good ADG record
MMO2,V008,7.1024E+14,KALAHARI RED,MM240002,240002,AV2408,sheep,Meatmaster,male,Purebred,twin,Red-brown with white patches,Multi-colour,100,05/08/2024,05/08/2024,MM210002,MM210003,,COLLEN STAFFORD,South Africa,BATCH-2024-B,active,open,healthy,FALSE,80,3,FALSE,Twin — good growth — worm resistant line
MMO3,V009,7.1024E+14,AMBER EWE,MM240003,240003,AV2409,sheep,Meatmaster,female,Purebred,single,Brown with white face,Multi-colour,100,18/09/2024,18/09/2024,MM210001,MM210004,,ANDRE VAN ZYL,South Africa,BATCH-2024-B,active,bred,healthy,FALSE,60,3,FALSE,Single — mated 2026-02-20 — rescan April
MMO4,V010,7.1024E+14,TERRA EWE,MM240004,240004,AV2410,sheep,Meatmaster,female,Purebred,twin,Red-brown fully pigmented,Red-Brown,100,02/10/2024,02/10/2024,MM210002,MM210004,,ANDRE VAN ZYL,South Africa,BATCH-2024-B,active,open,healthy,FALSE,58,2.5,FALSE,Twin — slightly light at weaning — on supplement
MR001,V011,7.1023E+14,IRON FLEECE,MR230001,230001,AV2311,sheep,Merino,male,Purebred,single,Fully white,White,87.5,15/04/2023,15/04/2023,MR200001,MR200002,,PIETER COETZEE,South Africa,BATCH-2023-C,active,open,healthy,FALSE,102,4,FALSE,Single — senior Merino sire — proven wool and meat progeny
MR002,V012,7.1023E+14,SILVER EWE,MR230002,230002,AV2312,sheep,Merino,female,Purebred,twin,Fully white,White,87.5,20/05/2023,20/05/2023,MR200001,MR200002,,PIETER COETZEE,South Africa,BATCH-2023-C,active,pregnant,healthy,FALSE,58,3,FALSE,Twin — confirmed pregnant — twins expected
MR003,V013,7.1024E+14,WOOL QUEEN,MR240001,240005,AV2413,sheep,Merino,female,Purebred,single,Fully white,White,87.5,10/03/2024,10/03/2024,MR200003,MR200004,,JAN DU TOIT,South Africa,BATCH-2024-C,active,open,healthy,FALSE,55,3,FALSE,Single — first mating season — good fleece weight
D007,V014,7.1023E+14,VELD SIRE,D230001,230003,AV2314,sheep,Dorper,male,Fullblood,single,White with black head,Black Head,100,20/06/2023,20/06/2023,D200001,D200005,,GERT JOUBERT,South Africa,BATCH-2023-A,active,open,healthy,FALSE,110,4,FALSE,Primary Dorper sire — sire of D001 D002 D004 D005
MMO5,V015,7.1023E+14,MASTER SIRE,MM230001,230004,AV2315,sheep,Meatmaster,male,Purebred,single,Brown with white markings,Multi-colour,100,14/08/2023,14/08/2023,MM200001,MM200003,,COLLEN STAFFORD,South Africa,BATCH-2023-B,active,open,healthy,FALSE,108,4,FALSE,Primary Meatmaster sire — sire of MMO1 MMO2 MMO3
